event_key,event_type,event_type_source,attendee_roles,attendee_roles_source,confirmed_attendance,confirmed_attendance_source,delegate_list_policy,delegate_list_policy_source,speaking_available,speaking_available_source,organiser,organiser_source,notes
tpa-2026,annual professional conference for school principals and educational leaders,https://tasprincipals.com/,"principals across primary, secondary, senior secondary and special education sectors, plus assistant principals and system leaders in Tasmanian public schools",https://tasprincipals.com/,,,,,,,Tasmanian Principals Association,https://tasprincipals.com/,
vassp-2026,annual professional conference for school leaders,https://tcm.swoogo.com/vassp26,,,,,,,,,VASSP (Victorian Association of State Secondary Principals),https://tcm.swoogo.com/vassp26,
vicspc,annual professional learning conference for school leaders,https://www.academy.vic.gov.au/government-schools-principals-conference?utm_source=chatgpt.com,"Victorian government school principals, assistant principals, and system leaders",https://www.academy.vic.gov.au/government-schools-principals-conference?utm_source=chatgpt.com,,,,,,,,,
wassea,,,,,,,,,,,WASSEA (wassea.asn.au),https://www.wassea.asn.au/event/wassea-conference-2025/attachment/conference-2026-featured/,
wellbeing-for-learning,"single-day academic conference on wellbeing in education, hosted by a university",https://events.humanitix.com/wellbeing-for-learning-conference-2026,"school principals, deputies, wellbeing coordinators, classroom teachers, school counsellors, education researchers, academics, policy officers, and teacher educators",https://events.humanitix.com/wellbeing-for-learning-conference-2026,,,,,,,Adelaide University School of Education,https://events.humanitix.com/wellbeing-for-learning-conference-2026,
earcos-annual-leadership,,,,,,,,,,,,,
fobisia-leadership,Annual leadership conference for heads and senior leaders at international schools,https://www.fobisia.org/conferences/leadership-conference | https://www.fobisia.org/conferences/leadership-conference/13-15-november-2026,School heads and senior leaders from FOBISIA member schools across Asia,https://www.fobisia.org/conferences/leadership-conference | https://www.fobisia.org/conferences/leadership-conference/13-15-november-2026,Hundreds of delegates; a 2022 virtual edition drew over 600 participants,https://www.fobisia.org/conferences/leadership-conference | https://www.fobisia.org/conferences/leadership-conference/13-15-november-2026,,,,,FOBISIA,https://www.fobisia.org/conferences/leadership-conference | https://www.fobisia.org/conferences/leadership-conference/13-15-november-2026,
ascl-curriculum,annual conference with exhibition floor,https://www.ascl.org.uk/events/ascl-curriculum-conference | https://www.ascl.org.uk/About-us/Partnerships-and-Exhibiting/Showcase-Your-Brand-at-ASCL-Events,"headteachers, CEOs, COOs, and strategic business leaders from primary, secondary, and post-16 schools",https://www.ascl.org.uk/events/ascl-curriculum-conference | https://www.ascl.org.uk/About-us/Partnerships-and-Exhibiting/Showcase-Your-Brand-at-ASCL-Events,,,,,,,ASCL (Association of School and College Leaders),https://www.ascl.org.uk/events/ascl-curriculum-conference | https://www.ascl.org.uk/About-us/Partnerships-and-Exhibiting/Showcase-Your-Brand-at-ASCL-Events,
bluecow,,,MAT central team members and senior leaders in schools,https://www.bluecoweducation.com/school-leaders.html,,,,,,,BlueCow Education,https://www.bluecoweducation.com/school-leaders.html,
conference-for-deputy-heads-and-senior-leaders-in-girls-schools,annual professional development conference for senior school leaders,https://gsa.uk.com/event/conference-for-deputy-heads-and-senior-leaders-in-girls-schools// | https://gsa.uk.com/event/conference-for-deputy-heads-and-senior-leaders-in-girls-schools/,deputy heads and senior leaders at girls' independent schools,https://gsa.uk.com/event/conference-for-deputy-heads-and-senior-leaders-in-girls-schools// | https://gsa.uk.com/event/conference-for-deputy-heads-and-senior-leaders-in-girls-schools/,,,sponsors may receive delegate details only if each delegate opts in via the booking form,https://gsa.uk.com/event/conference-for-deputy-heads-and-senior-leaders-in-girls-schools// | https://gsa.uk.com/event/conference-for-deputy-heads-and-senior-leaders-in-girls-schools/,,,Girls' Schools Association (GSA),https://gsa.uk.com/event/conference-for-deputy-heads-and-senior-leaders-in-girls-schools// | https://gsa.uk.com/event/conference-for-deputy-heads-and-senior-leaders-in-girls-schools/,
delivering-rshe-in-schools-digital,online digital conference focused on RSHE curriculum delivery in schools,"https://www.westminsterinsight.com/conferences-and-events/rshe-in-schools/?booking_code=dd&utm_campaign=4037256_RSHE%20ramp%20up%20-%2017.12&utm_medium=email&utm_source=dotdigital&dm_i=7UORR,2EJ60,3SXX04,4TE1M,1 | https://www.westminsterinsight.com/conferences-and-events/rshe-in-schools/","school leaders, teachers, PSHE leads, safeguarding staff, and practitioners working in primary and secondary settings","https://www.westminsterinsight.com/conferences-and-events/rshe-in-schools/?booking_code=dd&utm_campaign=4037256_RSHE%20ramp%20up%20-%2017.12&utm_medium=email&utm_source=dotdigital&dm_i=7UORR,2EJ60,3SXX04,4TE1M,1 | https://www.westminsterinsight.com/conferences-and-events/rshe-in-schools/",,,,,,,Westminster Insight (a division of The Knowledge Exchange Group Ltd),"https://www.westminsterinsight.com/conferences-and-events/rshe-in-schools/?booking_code=dd&utm_campaign=4037256_RSHE%20ramp%20up%20-%2017.12&utm_medium=email&utm_source=dotdigital&dm_i=7UORR,2EJ60,3SXX04,4TE1M,1 | https://www.westminsterinsight.com/conferences-and-events/rshe-in-schools/",
gsa-annual-heads-conference-2026,"annual membership conference for school heads, running across three days with dinner and accommodation",https://gsa.uk.com/event/annual-heads-conference-2026/,"heads of GSA member schools, plus guests and non-member school leaders",https://gsa.uk.com/event/annual-heads-conference-2026/,,,delegates are individually asked at registration whether they consent to their details being shared with sponsors,https://gsa.uk.com/event/annual-heads-conference-2026/,,,Girls' Schools Association (GSA),https://gsa.uk.com/event/annual-heads-conference-2026/,
gsa-inclusion-summit-2026,single-day specialist conference focused on inclusion in girls' independent schools,https://gsa.uk.com/event/gsa-inclusion-summit-2026/?utm_source=chatgpt.com | https://gsa.uk.com/event/gsa-inclusion-summit-2026/,"headteachers, governors, EDIB leads, SENCos, admissions directors, and ISI inspectors",https://gsa.uk.com/event/gsa-inclusion-summit-2026/?utm_source=chatgpt.com | https://gsa.uk.com/event/gsa-inclusion-summit-2026/,,,"delegates are asked individually whether sponsors may receive their name, school and email; no automatic sharing",https://gsa.uk.com/event/gsa-inclusion-summit-2026/?utm_source=chatgpt.com | https://gsa.uk.com/event/gsa-inclusion-summit-2026/,,,The Girls' Schools Association (GSA),https://gsa.uk.com/event/gsa-inclusion-summit-2026/?utm_source=chatgpt.com | https://gsa.uk.com/event/gsa-inclusion-summit-2026/,
isa-annual,annual multi-day conference,https://www.isaschools.org.uk/professional-development/courses-and-conferences/annual-conference-2026.html,,,,,,,,,ISA (Independent Schools Association),https://www.isaschools.org.uk/professional-development/courses-and-conferences/annual-conference-2026.html,
isa-autumn-leaders-conference-2026,"two-day leadership conference for independent school leaders, with an associated exhibition and awards ceremony",https://www.isaschools.org.uk/2026-isa-autumn-leaders-conf-exhibition-booking.html | https://www.isaschools.org.uk/professional-development/courses-and-conferences/autumn-leaders-conference-2026.html,school leaders and delegates from independent schools,https://www.isaschools.org.uk/2026-isa-autumn-leaders-conf-exhibition-booking.html | https://www.isaschools.org.uk/professional-development/courses-and-conferences/autumn-leaders-conference-2026.html,,,,,,,ISA (Independent Schools Association),https://www.isaschools.org.uk/2026-isa-autumn-leaders-conf-exhibition-booking.html | https://www.isaschools.org.uk/professional-development/courses-and-conferences/autumn-leaders-conference-2026.html,
isn-isp-webinar-pshe-wellbeing,,,,,,,,,,,,,
pastoral-excellence,single-day professional development conference focused on pastoral care in girls' schools,https://gsa.uk.com/event/pastoral-excellence-conference/?utm_source=chatgpt.com | https://gsa.uk.com/event/pastoral-excellence-conference/,"Pastoral Deputies, DSLs, Heads of House, SENCOs, Heads of Year, Form Tutors, School Nurses, and ELSAs from junior and senior schools",https://gsa.uk.com/event/pastoral-excellence-conference/?utm_source=chatgpt.com | https://gsa.uk.com/event/pastoral-excellence-conference/,,,,,,,Girls' Schools Association (GSA),https://gsa.uk.com/event/pastoral-excellence-conference/?utm_source=chatgpt.com | https://gsa.uk.com/event/pastoral-excellence-conference/,
pastoral-and-pshee,,,,,,,,,,,,,
rshe,single-day in-person conference focused on relationships and sexuality education in Welsh schools,https://www.policyinsight.wales/conferences-and-events/relationships-and-sexuality-education/,"educators and school professionals from Wales, including teachers, school leaders, and staff from local authorities, colleges, and PRUs",https://www.policyinsight.wales/conferences-and-events/relationships-and-sexuality-education/,,,,,,,Policy Insight Wales,https://www.policyinsight.wales/conferences-and-events/relationships-and-sexuality-education/,
